,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,SCIO-469,SL-327,5-Fluorouracil,Olaparib,Bafetinib,OTS964,Abemaciclib,CCT137690,Belumosudil,Parthenolide
34,Q32P44,EML3,0.0003144469220377436,0.0,0.0,0.0,0.04102364567171747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Q9Y5U2,TSSC4,0.0,0.0,0.013886368411994636,0.0,0.10026608348927682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,P02042,HBD,0.002595101451782761,0.009593152647175082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Q02878,RPL6,0.0,0.0,0.0,0.01544982102375245,0.0,0.0708575369361138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Q92797,SYMPK,0.0,0.0,0.0,0.0,0.03084954602224635,0.0,0.0,0.031920309165276536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Q9P015,MRPL15,0.02467411264824105,0.0,0.0,0.00020530200885476857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Q6ZN17,LIN28B,0.0,0.0,0.042843243479732965,0.0,0.06298306212130601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Q7RTV0,PHF5A,0.0,0.0,0.01317592580290549,0.0,0.04504633727525489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Q9ULJ6,ZMIZ1,0.0,0.0,0.0,0.010256051568021323,0.004617471684958244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Q96GX9,APIP,0.0,0.019429045115606496,0.03295063934772713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Q7Z2W9,MRPL21,0.0,0.0,0.0,0.0,0.009807360348398634,0.0,0.0028702971673009708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,P14866,HNRNPL,0.0,0.031633239923374724,0.0,0.0,0.05104471020615659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,P49902,NT5C2,0.0,0.0299523423487364,0.020998172220620948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
