Accession,# PSMs,Gene Symbol,Abundances_Pool_0,Abundances_Pool_1,Abundances_Pool_2,Abundances_Pool_3,Abundances_Pool_4,Abundances_Pool_5,Abundances_Pool_6,Abundances_Pool_7,Abundances_Pool_8
P33991,119,MCM4,38184.1,35360.1,36216.2,38727.0,39171.9,35794.1,38860.4,31996.0,36598.7
P35908,123,KRT2,33000.8,52307.1,45672.4,33320.7,28148.2,41621.7,26243.8,131510.7,35091.6
P22234,195,PAICS,99196.3,108966.1,98341.1,106769.3,112015.5,109174.6,107627.9,106805.9,102772.9
Q14152,152,EIF3A,34031.8,33630.3,34598.5,36926.6,34395.7,34227.6,34567.3,26691.3,34218.4
Q12888,93,TP53BP1,30693.0,30164.1,31202.2,30796.2,30385.9,30387.6,30800.2,30980.5,30659.2
P40227,213,CCT6A,78686.7,76296.4,75890.7,80090.4,84048.0,81478.5,81092.3,80214.0,79247.1
P41250,147,GARS1,59339.7,56972.2,59409.2,61719.2,60620.5,60995.5,60749.0,62162.5,60591.1
P55060,182,CSE1L,88889.6,74750.7,82107.9,90871.2,91577.7,82756.3,89224.5,86603.0,87758.5
P55786,154,NPEPPS,74023.8,76699.5,73990.7,72843.8,77635.3,76153.8,75909.5,79601.0,74211.4
O15067,114,PFAS,27975.0,28911.7,29294.7,29734.4,28481.6,29068.0,29635.4,25642.0,28607.2
Q15029,122,EFTUD2,52270.9,46001.1,53685.2,52517.2,53692.0,51508.4,52554.8,54513.9,52051.4
Q13200,124,PSMD2,51591.4,48692.7,51510.0,51343.3,52018.5,51306.9,52803.3,52025.3,53273.6
P25205,155,MCM3,54096.8,48866.8,53339.5,58684.7,53458.5,52768.3,55185.2,49793.9,54049.7
P09960,147,LTA4H,70940.4,68780.6,69881.1,68530.7,75331.9,71948.1,71987.7,75920.4,71170.4
Q9NTJ3,106,SMC4,23167.2,23871.1,24823.5,24784.9,23486.5,25069.9,24754.7,18054.2,23464.9
Q13620,138,CUL4B,63374.9,57292.2,62454.9,60489.9,62193.5,60574.3,62052.8,62261.6,62188.4
P26358,139,DNMT1,60514.8,54166.9,65324.6,63220.1,60306.1,63616.4,62689.9,63080.8,61375.0
O43175,153,PHGDH,58394.6,54370.0,58754.2,60287.2,62869.5,64338.9,65268.1,54560.9,59480.2
P68032,352,ACTC1,13407.3,13470.4,13873.4,13237.4,13835.8,13854.1,13660.2,14279.5,13656.6
O95347,107,SMC2,29182.7,30651.2,31416.7,30897.9,30540.1,32015.0,30934.1,20902.8,29462.6
Q12906,149,ILF3,62065.5,59579.2,61592.5,62630.9,66194.5,62344.3,62403.5,64006.8,64369.1
P63104,278,YWHAZ,120982.3,110696.2,111101.0,123964.1,128382.5,125869.3,124092.2,123867.5,115339.7
P60174,261,TPI1,100990.3,106892.0,97508.4,96236.6,104106.3,101878.2,99030.2,104019.7,97400.9
P60842,155,EIF4A1,50790.6,45800.3,51534.6,50965.1,52700.5,50220.1,50609.3,39952.8,50047.6
P23526,194,AHCY,99112.2,106626.1,97415.8,96985.8,104837.7,99732.6,100196.2,101714.5,96679.3
Q15393,144,SF3B3,56781.1,52815.9,56332.7,57628.3,57707.3,55251.6,57421.3,56070.2,57651.0
Q9Y230,136,RUVBL2,59850.7,53749.2,59460.3,57181.1,56876.3,55357.2,57915.4,60882.9,59673.7
Q9C0C9,108,UBE2O,32887.9,30732.9,33718.5,33613.3,33910.4,34720.7,34673.2,34924.2,34486.2
P35241,170,RDX,38726.8,41521.5,37328.8,39622.0,35606.3,38130.2,37041.4,39174.1,38808.7
P42704,110,LRPPRC,31302.9,30603.3,30640.6,30663.9,31368.1,31319.4,30710.1,21640.0,30742.5
P49915,126,GMPS,40710.7,39739.0,41556.2,41212.0,40721.9,41985.7,42501.4,37997.8,42249.2
Q8NFC6,89,BOD1L1,32963.5,29471.9,34518.3,32153.0,30060.6,32446.7,32276.9,34543.0,33773.2
P41252,112,IARS1,29316.5,28809.0,29695.9,29129.9,29879.6,29501.1,29501.2,19597.0,29263.7
P09874,105,PARP1,26787.8,26535.9,33458.3,27976.0,32493.1,27483.2,26174.3,16216.6,32814.0
P15311,187,EZR,55504.2,52195.2,52697.3,58828.6,52250.3,55591.4,54292.1,54869.4,55253.3
P26639,133,TARS1,64223.9,59324.9,62078.2,61763.4,63706.9,61673.4,63368.6,60921.8,66540.6
Q04637,130,EIF4G1,36370.9,34425.5,35921.1,37734.1,35975.0,36006.9,36676.9,27798.0,37876.6
P00918,139,CA2,66692.9,69779.6,62453.0,60392.6,68201.0,66194.1,65633.0,65674.0,63763.2
P40926,195,MDH2,98733.8,113583.3,94956.3,100158.8,105093.8,102261.1,103260.9,103513.4,97265.8
P12277,205,CKB,34562.3,33253.5,35425.1,34384.9,35804.2,35509.2,35360.2,25172.3,35880.5
P07237,151,P4HB,91149.8,93414.7,88136.7,88269.5,91015.1,88226.7,87478.3,91806.9,86903.6
Q14247,126,CTTN,58183.2,58077.1,57174.9,57660.8,53327.2,58043.2,57544.0,59038.0,57900.8
Q16181,110,SEPTIN7,49870.9,41693.7,49279.3,48239.1,45349.4,49733.9,48027.5,50644.3,51380.7
P46940,100,IQGAP1,38814.6,35371.0,37755.9,37812.9,38136.0,37103.9,38611.3,32061.7,38586.6
Q9P2J5,100,LARS1,21508.4,21171.0,21602.4,22043.3,22899.5,22134.1,22091.6,14133.4,21719.5
Q9Y265,129,RUVBL1,57632.1,52550.4,56538.1,57255.4,57976.8,55627.8,58545.0,59085.7,58710.2
P23588,173,EIF4B,63914.2,57569.7,60198.7,62785.3,48949.4,61385.6,63321.3,64013.8,64432.8
P68371,215,TUBB4B,11399.6,10577.7,11204.2,11190.8,12454.1,12215.5,12126.6,10235.7,11915.3
O95757,127,HSPA4L,41427.8,39134.0,41852.0,40631.4,41133.9,40147.2,40378.1,38101.5,41463.1
P19338,147,NCL,70992.3,65738.2,66081.8,78123.4,69939.8,65215.0,66317.4,61386.3,71118.5
Q5JSH3,109,WDR44,48488.6,46416.4,52004.0,47437.3,49819.9,49372.5,49579.3,51683.9,49182.1
P31150,116,GDI1,27899.4,28700.6,26596.4,26822.5,27301.7,26889.8,26907.0,28244.6,27007.9
Q14315,112,FLNC,32899.0,32256.7,32870.3,32396.4,33313.9,32281.4,32639.4,33302.2,33530.8
P00338,251,LDHA,95878.0,104851.4,94910.8,93604.4,99065.9,99724.7,98766.6,101081.6,94018.6
P11216,125,PYGB,41594.4,37033.9,41332.4,41001.0,42954.2,41465.4,40847.7,42776.1,42681.9
P07437,208,TUBB,67439.3,66418.9,68285.1,69466.6,70440.7,69893.3,69159.2,57872.7,68664.4
P62258,308,YWHAE,131095.3,120353.6,126521.8,122693.7,134518.2,127348.7,124378.2,132051.6,125502.8
P30622,90,CLIP1,39252.5,36506.6,40027.2,37947.1,37383.7,37198.6,37213.7,39925.6,39107.2
P12268,103,IMPDH2,28777.3,30382.4,30365.1,30228.0,28123.2,29621.0,31637.8,22983.3,27748.3
Q9C0C2,92,TNKS1BP1,29305.5,28340.2,32324.5,31019.5,28409.6,30550.3,30774.2,31954.0,29651.0
Q12931,139,TRAP1,61688.3,50478.6,61043.9,59683.8,60857.6,60259.8,59656.7,62117.9,62247.9
Q9NR09,104,BIRC6,40783.2,39792.2,42460.5,45985.3,40789.0,42377.5,44244.5,43265.7,42029.2
Q32MZ4,81,LRRFIP1,31767.5,32175.3,32506.3,34180.5,30403.8,31799.1,32606.3,33034.5,32747.8
Q14203,84,DCTN1,28008.2,25340.3,28133.0,28619.6,26763.8,27541.9,28314.6,26392.7,28821.2
P46060,106,RANGAP1,46451.9,39758.9,44719.9,45155.4,47550.4,44709.3,44631.0,44151.1,46445.0
P33992,119,MCM5,42827.2,40796.3,42066.8,41271.3,43575.3,42414.9,43884.7,40109.4,44306.4
P40222,95,TXLNA,37084.6,32612.1,38685.6,38725.4,34691.8,38770.0,37960.5,38523.1,38004.8
Q9P2E9,80,RRBP1,29039.5,29817.6,30816.0,30404.2,25810.2,28460.4,29170.9,31272.2,29607.7
Q13435,97,SF3B2,37356.5,33155.5,35969.7,35558.1,35176.6,35368.0,36072.7,36091.7,38198.0
Q15019,110,SEPTIN2,32173.9,29929.4,33114.5,31675.9,33406.5,33557.1,33225.4,33732.4,32893.5
P13645,122,KRT10,32717.7,48102.7,45370.2,31034.8,28449.4,41976.1,27280.4,101409.0,37669.9
Q16658,120,FSCN1,50437.4,53318.2,49994.3,48231.6,52281.1,51352.2,50008.1,52414.6,49847.6
P30101,106,PDIA3,37431.6,33773.8,37496.6,37731.6,34450.8,36486.8,37161.8,32947.7,36619.6
P62195,94,PSMC5,35363.2,35288.6,35062.3,36256.1,36831.9,35558.4,35829.9,35413.5,35676.2
Q15181,148,PPA1,76789.1,87939.5,76011.3,68600.2,77003.5,73811.5,76965.2,77578.8,73116.0
P53621,98,COPA,38365.7,34729.1,37370.9,38422.1,39621.2,37600.1,37729.3,33045.2,37874.4
O43143,133,DHX15,49007.3,45489.6,50624.5,49822.5,50174.3,50801.2,50056.6,50768.3,49312.4
O75534,113,CSDE1,27279.3,26861.5,28504.8,28671.5,25661.3,27422.6,27947.5,20002.0,25784.3
O75153,100,CLUH,31155.2,31076.2,32535.7,32452.3,30998.2,31979.9,31648.9,32407.7,30808.0
Q05639,196,EEF1A2,13481.8,13886.6,13310.4,14201.8,14397.5,14250.9,14375.8,14187.8,13670.1
Q13428,120,TCOF1,47793.5,46870.0,49641.0,57093.4,43518.6,47558.9,49517.4,51057.8,48026.2
Q93008,93,USP9X,28524.6,27575.6,29227.3,30262.6,29692.3,28884.1,30275.9,26315.2,29457.1
Q9BQE3,146,TUBA1C,39428.6,36206.7,38862.8,39284.0,41319.5,39857.9,40030.8,31981.1,39316.5
P39023,128,RPL3,55089.9,48437.9,52272.8,56247.4,56444.5,54281.0,53923.1,57314.1,57270.8
P31939,95,ATIC,19326.6,18228.9,19712.5,20058.9,19223.7,19606.6,19677.1,12051.9,19239.2
Q01518,132,CAP1,52595.1,58021.6,52001.6,56185.4,50131.9,50775.6,51550.8,54182.9,52644.9
Q06203,99,PPAT,40732.8,45266.2,40863.8,41488.6,41889.5,40793.8,41061.1,42639.5,40587.0
Q00839,113,HNRNPU,35377.1,33557.9,35229.8,34882.5,35996.5,36174.5,35143.8,24696.0,35392.0
P35998,97,PSMC2,42599.2,42063.6,42651.7,42143.0,44773.7,42726.4,43122.1,42701.2,44716.9
P15170,108,GSPT1,46407.3,42757.5,48077.6,49000.7,46906.4,49797.3,50292.4,49048.8,47155.2
Q9ULT8,87,HECTD1,26947.0,27042.5,27200.1,28091.6,26682.0,27194.1,27942.2,25208.9,27512.1
P12956,107,XRCC6,40844.3,34726.8,39741.4,40288.1,42252.7,39202.9,39559.0,30563.8,40614.2
Q9BQ52,98,ELAC2,30297.9,28462.3,29647.0,29037.8,29537.5,37933.6,29652.4,29925.7,30681.2
P50851,89,LRBA,33475.0,30652.4,33964.9,33951.4,32834.0,33721.5,33959.2,33547.8,33939.3
