Accession,# PSMs,Gene Symbol,Abundances_Pool_0,Abundances_Pool_1,Abundances_Pool_2,Abundances_Pool_3,Abundances_Pool_4,Abundances_Pool_5,Abundances_Pool_6,Abundances_Pool_7,Abundances_Pool_8
O00743,41,PPP6C,17309.2,17730.9,16929.6,16316.6,17141.1,17259.2,16827.1,16496.4,16661.2
O75391,20,SPAG7,11210.4,11586.0,11588.4,10085.0,11602.2,12857.5,11539.9,11956.2,11801.3
Q9BXR0,26,QTRT1,11848.0,11244.9,11521.8,10998.4,11776.4,11755.9,11433.9,12338.1,11474.4
O00429,29,DNM1L,9485.1,8811.5,8751.4,9113.8,8737.7,8727.2,9245.2,5930.1,8730.6
Q9H4A3,31,WNK1,9405.6,9517.8,9114.6,9693.5,9654.9,9727.4,9576.3,9670.1,9642.7
Q9Y5Q8,37,GTF3C5,11547.5,11180.7,11482.9,11713.3,11240.5,11699.7,11316.3,8962.0,11224.0
O75608,36,LYPLA1,21180.1,20924.8,20718.9,19452.2,21320.8,20755.6,20249.2,21314.3,20289.0
Q9Y450,29,HBS1L,6693.7,7238.1,6919.7,7776.2,7240.5,7425.5,7271.1,5893.8,7059.7
Q8NBT2,17,SPC24,4376.3,4223.2,4348.4,4438.9,4490.1,3999.2,4162.0,4179.9,4190.9
Q6P2I3,23,FAHD2B,571.3,584.4,553.8,547.5,632.9,551.1,577.4,598.8,604.0
P51149,29,RAB7A,16064.7,15920.5,15572.9,15735.7,16694.0,16794.1,16341.6,17096.8,16419.1
P52895,29,AKR1C2,427.8,502.6,402.8,443.7,425.8,430.0,400.3,81.6,537.1
O14776,34,TCERG1,8857.0,8894.2,8660.3,8625.1,9115.9,9399.4,9448.7,6941.1,9043.2
Q13576,30,IQGAP2,6302.3,6147.7,6157.9,6313.5,6415.6,6399.7,6438.9,4564.5,6280.5
P50213,34,IDH3A,15369.2,15011.7,14914.7,14827.7,14251.7,14829.0,14750.2,13398.1,14263.8
Q9HA64,29,FN3KRP,10770.0,10920.4,11378.1,11099.7,10961.1,15016.1,10858.2,13748.2,11429.3
Q15907,39,RAB11B,19724.7,20616.0,20092.4,19966.1,20682.0,19394.9,20098.2,21175.5,21121.5
Q13185,36,CBX3,12596.0,12744.1,12901.3,13372.4,12394.7,12579.9,12938.1,12563.6,12394.2
Q96A49,17,SYAP1,6987.3,7252.4,7134.1,6998.5,7296.7,7169.6,7052.8,7631.4,7319.2
P49023,27,PXN,11471.5,12107.5,11602.8,10911.0,10850.8,11259.5,11330.2,12010.3,10865.6
Q9BZE9,23,ASPSCR1,8735.6,9037.0,9048.2,9135.6,8837.1,9417.9,9130.7,9521.6,8894.7
P54725,48,RAD23A,21578.6,22524.4,22311.5,21496.3,21921.3,22504.2,21286.8,23374.3,21645.2
Q16539,32,MAPK14,23232.0,23825.9,23091.4,9522.7,14646.5,16514.7,9788.8,11058.4,10180.3
Q96I51,18,RCC1L,5397.4,5515.4,5454.4,5369.3,5432.3,5480.5,5391.3,5706.3,5403.3
Q9Y281,66,CFL2,7579.6,7608.8,7257.3,7097.7,7674.1,7432.9,7385.5,7706.2,7748.4
Q9BZZ5,36,API5,15476.0,15355.9,14754.6,15854.5,16379.0,15322.7,14854.5,15509.1,16145.0
Q5T6V5,38,C9orf64,17276.0,15706.0,15828.3,17098.5,17646.2,16698.2,16523.7,16578.0,18441.8
P56537,40,EIF6,15952.7,16082.0,15334.5,15197.4,16777.1,15938.7,15805.1,16611.2,15961.1
