Accession,# PSMs,Gene Symbol,Abundances_Pool_0,Abundances_Pool_1,Abundances_Pool_2,Abundances_Pool_3,Abundances_Pool_4,Abundances_Pool_5,Abundances_Pool_6,Abundances_Pool_7,Abundances_Pool_8
P23381,117,WARS1,19685.2,23952.3,26402.6,23210.5,27173.8,24465.3,25606.7,25925.5,23550.6
Q14974,160,KPNB1,26999.3,27795.8,29127.5,27669.9,30400.6,26919.9,27395.8,29101.7,27946.2
P42704,118,LRPPRC,12564.4,12604.9,12533.7,14682.0,12790.4,12553.8,12141.9,6232.9,11713.6
P23526,186,AHCY,48972.7,46266.9,47638.0,44308.9,49371.0,45948.8,47230.2,47377.6,45227.9
P36776,99,LONP1,15921.3,17631.3,18247.5,18000.9,18897.9,18218.7,18526.2,18275.8,18209.9
Q9NPH2,124,ISYNA1,20361.9,19343.6,19495.5,18332.7,19445.5,19753.8,19027.0,19479.5,18878.3
Q9BQE3,175,TUBA1C,32995.1,29175.4,30593.5,30580.7,32408.4,29893.2,29718.5,28626.3,28818.2
Q58FF7,285,HSP90AB3P,147.2,217.5,227.1,196.8,232.4,224.5,215.8,231.6,210.5
O60664,103,PLIN3,16729.7,18366.8,17623.2,17679.9,16858.7,20206.8,18115.8,19178.5,19079.9
P05455,136,SSB,30197.8,36490.9,37860.7,37664.9,38386.3,41127.4,37566.5,37877.4,36057.8
P49736,89,MCM2,14314.5,14943.5,14354.6,15539.7,13046.9,15157.5,14366.0,12857.6,13675.5
Q13177,111,PAK2,19231.5,19682.3,20592.8,18938.8,21392.9,20087.7,20857.3,20885.8,19505.2
Q9UBT2,107,UBA2,24980.6,24179.1,24676.0,23910.9,25261.1,23946.4,24692.4,25416.1,24891.6
O15355,78,PPM1G,17048.2,16972.7,16521.1,16801.6,15969.6,16964.6,16643.9,17759.7,17236.8
Q9BQ52,110,ELAC2,19121.1,17381.7,17176.7,16735.0,17289.9,17440.1,17904.2,18484.5,17652.6
Q15046,137,KARS1,31686.4,29658.8,29811.1,30073.2,30024.2,29935.2,30391.0,30539.6,32031.2
P04350,195,TUBB4A,1522.9,1154.2,1196.7,1290.9,1202.5,1242.4,1192.4,1156.1,1330.7
Q14980,73,NUMA1,9677.3,8747.9,8382.4,8695.1,8358.2,8872.3,8551.8,8783.3,9001.0
P52209,174,PGD,37915.8,38801.5,42026.1,37630.0,45569.8,41958.0,41838.7,41223.2,37678.7
P49411,125,TUFM,34648.0,27985.8,26576.6,27335.6,26747.9,28098.2,27694.0,27031.4,28034.8
Q14247,99,CTTN,20061.9,21117.3,20726.9,19650.3,19400.7,22215.2,21217.0,21674.5,20841.3
Q12906,119,ILF3,19905.6,20641.8,20586.0,21047.0,20685.7,20234.3,20778.6,20035.3,20179.5
O95373,122,IPO7,24544.6,22198.0,23117.8,21452.6,23573.7,21038.2,22389.9,23284.7,22278.7
Q9C0C9,82,UBE2O,13358.8,12931.1,12717.6,12880.4,12895.4,14172.5,13706.9,13695.0,13189.6
Q02790,113,FKBP4,15924.8,18140.1,17646.4,19879.3,18311.2,17979.5,17936.6,17021.0,17989.1
Q5VYK3,100,ECPAS,16161.9,17444.8,16720.4,19180.7,16490.3,16829.5,16655.9,14550.6,17182.8
P68032,298,ACTC1,6651.6,9107.0,9446.6,8799.2,10274.8,9442.0,9502.9,9704.6,8588.5
Q06203,110,PPAT,22482.5,23825.3,24597.9,23117.6,25092.6,24322.0,24209.0,24492.2,23842.1
P34897,168,SHMT2,36009.5,34206.1,34073.8,32226.7,34207.2,33909.8,34363.0,33833.3,33720.5
P07355,168,ANXA2,41398.2,38341.1,41415.5,35275.4,43717.4,39425.4,38979.3,39920.7,37835.8
Q14697,115,GANAB,14475.5,16468.2,13792.1,18056.9,13877.4,14639.7,14411.9,16918.8,13968.5
Q01518,141,CAP1,32582.0,31645.5,30272.4,30434.9,29512.4,32834.5,30398.0,30787.0,31392.1
P04083,78,ANXA1,15882.4,17015.7,16355.7,18142.7,16736.9,18166.8,17751.6,16713.4,17600.2
O75083,107,WDR1,21703.2,20732.1,20409.0,20792.6,20290.5,20898.3,20595.4,20481.2,20653.3
O43242,132,PSMD3,23711.5,22407.8,22277.1,23705.1,22392.3,22090.0,22697.7,22051.3,22218.7
P23528,178,CFL1,40813.6,52930.3,54584.7,49784.5,53635.7,53585.6,54243.7,56996.0,50109.5
Q5H9R7,93,PPP6R3,16912.6,20538.3,20830.7,19778.5,20857.6,18877.2,20373.6,21603.2,20557.2
Q32MZ4,76,LRRFIP1,9573.1,11240.9,10905.9,10968.7,10686.8,11048.8,10889.0,11956.1,11735.3
O75153,94,CLUH,14300.4,15508.2,14395.6,16714.8,13890.1,14454.7,14149.6,13735.1,14629.3
Q00610,83,CLTC,8886.6,9507.9,9217.6,10832.0,9364.2,9355.8,9290.5,7158.2,8972.1
P13667,106,PDIA4,20258.2,20306.3,19733.8,20713.4,19549.0,20001.1,20914.4,21599.0,21572.8
Q9UIA9,123,XPO7,22537.3,22060.7,22475.9,22492.4,23200.7,22154.6,22880.2,23720.9,23160.9
P00505,158,GOT2,37860.0,37964.8,39412.5,36491.8,40738.4,38629.9,39109.7,39611.8,37245.5
P13645,86,KRT10,12352.4,11226.6,34987.7,9911.8,13622.0,11974.5,19941.4,15865.4,28226.1
P49915,93,GMPS,14969.6,16088.1,15707.9,16950.2,15295.3,16536.1,16180.3,15357.7,15595.5
Q15181,130,PPA1,22756.8,26387.6,27677.5,24714.1,28274.3,24900.8,26147.1,28121.5,25210.0
P08670,88,VIM,16215.9,18187.9,18819.9,18622.5,18598.1,18694.0,17467.5,18914.0,19091.0
Q14997,103,PSME4,21753.3,22563.2,21874.1,22483.0,22495.1,22277.5,22707.7,22479.3,22467.5
Q13885,195,TUBB2A,586.1,589.3,650.3,650.0,685.6,625.9,612.1,592.8,609.8
P49591,100,SARS1,22703.6,22903.0,22705.9,22090.1,22579.4,24035.0,23506.5,23854.9,23077.4
Q08378,66,GOLGA3,12341.9,11680.4,11087.0,11085.7,10628.5,10673.5,11047.4,11122.2,11742.5
P28838,101,LAP3,20735.7,17169.5,16507.2,16437.1,18843.3,17135.2,16731.0,15944.2,18827.3
Q99798,81,ACO2,12282.5,13736.7,13697.8,14325.5,11998.9,14453.9,13946.0,14009.4,12400.9
P40939,106,HADHA,24464.2,24759.0,23693.6,23889.6,22675.5,24297.7,25624.5,23470.8,25053.6
Q96G03,114,PGM2,26110.8,25014.9,25155.2,23855.5,25326.5,24109.4,25257.5,25842.9,24843.9
Q15029,94,EFTUD2,16213.3,16088.0,15933.1,15465.9,15286.5,15664.1,16191.7,16636.6,16021.9
P09211,152,GSTP1,29541.2,29702.9,31917.1,30936.0,32267.4,35141.8,30352.8,32782.4,32039.1
Q9H4A4,96,RNPEP,16524.3,14574.5,14668.7,15087.0,14876.9,14509.5,15095.9,15172.2,14847.3
Q9UPU5,84,USP24,14924.1,14425.0,15138.8,14487.2,13263.0,14614.0,15322.3,14925.9,13780.9
Q96AE4,104,FUBP1,14986.0,14672.4,13350.3,13366.0,13389.0,15228.8,14733.1,15528.6,16172.7
Q9BVA1,194,TUBB2B,152.6,180.3,189.1,187.1,172.1,186.0,184.1,202.9,218.0
P25205,103,MCM3,14791.9,13604.5,13027.6,13804.2,11777.0,13646.8,12656.3,12232.4,13075.5
O14980,111,XPO1,17991.8,17958.1,18233.7,20026.2,19532.3,18254.0,19189.6,20097.2,18966.0
P00491,108,PNP,18451.9,18307.1,18000.7,17100.3,18558.4,17424.7,18607.8,18633.5,17096.2
Q9Y266,139,NUDC,29677.7,31268.3,30843.2,31224.6,31405.7,33190.3,31673.3,32126.6,31180.7
P35908,78,KRT2,9986.3,11042.7,29297.1,7274.2,9628.2,8725.9,13491.9,12590.2,20584.4
P07737,168,PFN1,27152.3,26210.8,27264.7,25345.6,29020.9,27886.5,25287.0,27368.2,26607.6
P13489,96,RNH1,22947.1,20227.9,20173.6,19094.1,19602.1,20269.1,20561.6,21274.6,22014.4
P62195,106,PSMC5,19492.3,20451.3,19750.1,21583.7,19293.1,20347.0,20118.7,19283.6,20476.4
P31939,85,ATIC,10762.9,9779.4,9217.4,11323.4,9070.7,9868.2,9523.1,6085.6,9205.7
Q9Y230,83,RUVBL2,17564.4,16639.8,16401.0,18279.7,16054.7,17385.3,16502.5,15740.4,17108.2
P35998,110,PSMC2,24148.6,23539.9,23183.0,24944.0,21863.0,24087.2,23993.0,22732.1,23622.2
Q9BXJ9,118,NAA15,28852.9,24188.3,25877.0,27469.2,25208.8,24530.1,28602.9,27795.4,23596.8
O60763,74,USO1,11869.2,11461.3,11702.0,12298.2,11890.3,12067.9,11788.6,12428.4,12260.6
P55884,91,EIF3B,13382.6,15638.0,15488.4,17463.8,15106.3,14511.5,14852.4,13460.4,15070.3
O60271,73,SPAG9,17633.0,17722.6,15640.3,18373.4,15898.8,16373.1,16588.6,16633.3,17974.2
P00390,92,GSR,15728.6,17079.9,17162.3,16504.4,16912.4,17526.7,18154.0,18023.7,17637.9
Q13867,111,BLMH,27838.0,27964.7,27946.5,27351.4,28168.0,28128.0,28851.7,29342.7,27806.5
P68366,156,TUBA4A,3645.5,3436.8,3618.6,3605.9,3689.5,3602.6,3631.1,3523.2,3524.0
P0DN79,115,CBSL,27114.5,24400.7,23921.0,24172.9,24031.3,23771.4,23762.9,25393.5,23810.0
O43847,93,NRDC,17467.9,18582.7,18458.9,18488.3,18987.8,16570.9,17619.8,18783.7,17968.0
Q13618,77,CUL3,17741.6,16777.6,16635.7,16519.7,16597.5,15972.0,17131.4,17183.6,16859.5
A0AVT1,93,UBA6,16354.2,14143.9,13673.8,15914.8,13005.8,13664.4,13440.9,11077.8,13458.6
P40925,143,MDH1,35426.3,30010.5,31524.3,27855.5,33626.3,30306.7,30469.4,30944.2,29434.6
P62258,171,YWHAE,26200.3,31099.7,32128.5,29945.4,33414.4,30360.5,31377.2,32298.5,30002.2
P62937,212,PPIA,46746.4,55896.4,57275.5,54593.6,59640.1,60169.1,58234.4,59182.8,54123.3
P17980,104,PSMC3,17772.2,19399.9,18875.2,20361.1,18135.3,19668.4,20125.7,19486.4,20115.7
P51858,88,HDGF,19125.1,21826.3,22088.9,20428.9,22628.6,20215.2,21568.5,22879.1,21577.9
O43175,79,PHGDH,14368.2,13841.9,14226.4,15294.2,13731.4,13729.3,13971.9,13351.0,12441.9
Q08J23,96,NSUN2,19966.5,17538.9,17030.2,17936.5,16717.2,18158.8,17855.9,17545.4,17260.4
P11586,92,MTHFD1,14620.4,11631.8,10662.3,12486.4,11527.3,11419.5,10549.7,7484.1,11089.0
Q9P2J5,83,LARS1,9124.4,9273.7,8102.5,11727.4,8303.9,8685.6,8133.4,4809.2,8424.6
Q13616,94,CUL1,23175.5,23095.5,22358.2,22904.1,22359.1,21703.3,22801.0,22474.2,22869.0
Q16543,79,CDC37,16679.5,19173.6,20037.5,19129.3,19691.6,21508.7,19369.9,20680.1,18270.0
