,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,Olaparib,Bafetinib,SCIO-469,OTS964,SL-327,Abemaciclib,CCT137690,Belumosudil,Parthenolide
652,Q9HAV4,XPO5,1.241841879935306,1.1847112548758443,1.0218553824691932,1.2145212951511115,1.2145212951511115,1.0751261676491104,1.2051501601496843,1.2145212951511115,1.2260489011511748,1.0394846615698128,1.241841879935306,0.9786120591581342,1.2260489011511748,1.2260489011511748,1.0475675971388323
653,Q8NC51,SERBP1,1.098058243783442,1.006607334315426,0.9934360359892276,1.1478886405925874,1.0908029044377228,1.1860649388805298,1.081516368265952,1.1141104512958395,1.0588907000461991,1.0281158465469502,1.1478886405925874,1.1478886405925874,1.098058243783442,1.0588907000461991,1.081516368265952
654,Q14240,EIF4A2,1.0333210170971752,1.037889221054046,1.0522320378892212,1.024061246810062,1.039505518178504,1.0535420375533238,1.037889221054046,0.9808211162760458,1.0909945920526687,1.0333210170971752,1.037889221054046,1.0522320378892212,1.01955390580983,1.0928084377414262,1.0382129718622608
655,Q0VD83,APOBR,0.9923688239725862,1.1003218752303496,1.0863166171158996,1.0343594641588911,1.0377650556524731,1.0335757842921165,1.0580112533477481,1.0377650556524731,1.036978795547802,1.0580112533477481,1.036978795547802,1.0827516959322117,1.0110076414653921,1.0076898586927239,1.0377650556524731
656,A6NDG6,PGP,0.9769425116961162,1.1148900802061255,1.1131612849603125,1.0699729147630856,1.090080206125587,1.0657551233520428,1.0428375514275028,1.085783152557869,1.085783152557869,1.0470681128703818,1.085783152557869,1.092628246965148,1.0470681128703818,1.0236016838532829,1.090080206125587
657,P27707,DCK,1.1538518581295816,1.1005657019365227,1.1937582100936481,1.0685640229163882,0.9987467255637166,1.1629518199923725,1.1005657019365227,1.1203007518796992,1.0312407305394296,1.1937582100936481,1.1629518199923725,1.1354718420272045,1.0012548471040803,1.0312407305394296,1.0012548471040803
658,P06493,CDK1,1.8539719626168225,1.6676655830963025,1.0055741018651803,1.8083604225924423,1.8083604225924423,1.10783743223791,1.7516253555465258,1.8083604225924423,1.7516253555465258,1.0848059783773851,1.837261275904104,0.9944567965157006,1.8083604225924423,1.7516253555465258,1.05620042265168
659,Q9BUJ2,HNRNPUL1,1.0422198301638559,1.0917354383446956,1.0878782442291592,1.0894629828967826,1.091047721564406,1.0878782442291592,0.9929137020885931,1.0894629828967826,1.0543211303418185,1.0670075349838535,1.091047721564406,1.0878782442291592,1.0310901788552111,1.0071368719119305,1.0512583432055247
660,P50995,ANXA11,1.0640948102067853,1.1042854674269917,1.0640948102067853,1.119333563734808,1.1321208455734117,1.0780628996025574,1.0104968124862608,1.0780628996025574,1.0285914486700374,1.0590979782270606,1.0780628996025574,1.1042854674269917,1.0152643438118267,1.0679682347768742,0.9896122260292597
661,P12955,PEPD,1.0354214024688517,1.0636361866946942,1.0507415625364942,0.970185086960163,1.0758301218420334,1.0355940494345812,1.0526976526918137,1.0526976526918137,1.0758301218420334,1.0507415625364942,1.0636361866946942,1.0355940494345812,1.0458075440850167,1.0307311598998647,1.0458075440850167
662,Q15424,SAFB,1.030250790132578,1.0061158313836553,1.0137545625141773,1.0417998474006558,1.0109500340255293,1.0232404676963684,1.02409391290071,0.9939213446475197,1.0232404676963684,1.0089069490621023,1.0352009568391314,1.0417998474006558,1.0290144969377024,1.0290144969377024,1.0137545625141773
663,Q8IZ21,PHACTR4,1.0347392290249433,1.1028117913832198,1.1740589569161,1.0653061224489795,1.0653061224489795,1.0347392290249433,0.9936700514308321,1.031700680272109,1.0063702720637027,1.0900680272108842,1.0900680272108842,1.1028117913832198,1.0391506303915063,1.0093342180933422,1.0391506303915063
664,P62136,PPP1CA,1.0946744741077872,1.0124492880439104,1.0708636287950268,0.9877037910037322,1.059624243769773,1.0708636287950268,1.0248720600323495,1.086487761558528,1.072625853360715,1.0946744741077872,1.0381168297404078,0.9985966212995817,1.072625853360715,1.059624243769773,1.0708636287950268
665,Q8N1G4,LRRC47,1.041515229487633,1.0775304750570904,1.075341214757746,1.1123933185003154,1.0910736226878757,1.073423438382094,1.0212521308417228,1.0396577787784247,1.073423438382094,0.9791901233790262,1.075341214757746,1.1123933185003154,1.075341214757746,1.1123933185003154,1.0544200179324543
666,P62495,ETF1,1.2496884088076443,1.145034431541993,0.8921010630288795,1.1743698933665698,1.1209492303537671,1.1848428195540783,1.1808440659188477,1.1848428195540783,1.1513468809073724,1.108883811106495,1.1743698933665698,1.1743698933665698,1.1496676360614873,1.1513468809073724,1.1496676360614873
667,Q9Y3P9,RABGAP1,0.9966167230546157,1.0473211075152822,1.0057482740914019,1.0473211075152822,1.041898597626753,1.0141819489392305,1.0264221503056454,1.0118087019057893,1.0264221503056454,0.9966167230546157,1.0033947623666344,1.0473211075152822,1.017886689108233,1.0612585400934915,1.0264221503056454
